"movieid","titre","summary","certificat","duration","poster","directors","writers","stars"
36527,Proof,"The daughter of a brilliant but mentally disturbed mathematician, recently deceased, tries to come to grips with her possible inheritance: his insanity. Complicating matters are one of her father's ex-students, who wants to search through his papers, and her estranged sister, who...",Tous publics,"1h 40m",https://m.media-amazon.com/images/M/MV5BMTMxMjM0MTY4Nl5BMl5BanBnXkFtZTcwMDU4MjEzMQ@@._V1_FMjpg_UX483_.jpg,John Madden,David Auburn|Rebecca Miller,Gwyneth Paltrow|Anthony Hopkins|Hope Davis
122932,Elsa & Fred,A withdrawn senior experiences life in new ways when he begins spending time with the free-spirited woman who lives across the hall.,PG-13,"1h 33m",https://m.media-amazon.com/images/M/MV5BMjM4MzIyNzQ1N15BMl5BanBnXkFtZTgwMjQyNzY3MjE@._V1_FMjpg_UX511_.jpg,Michael Radford,Marcos Carnevale|Marcela Guerty|Lily Ann Martin,Shirley MacLaine|Christopher Plummer|Marcia Gay Harden
148881,World of Tomorrow,A little girl is taken on a mind-bending tour of her distant future.,G,"17m",https://m.media-amazon.com/images/M/MV5BMTU5OGViNDMtZTllMC00ZjU5LTg3OWItMjljMWZhZDM2NmJiXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_FMjpg_UX566_.jpg,Don Hertzfeldt,Don Hertzfeldt,Julia Pott|Winona Mae|Sara Cushman
59369,Taken,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.","12","1h 30m",https://m.media-amazon.com/images/M/MV5BNzMwNzliY2MtMWY5MS00NDY0LTg5ZTEtMDkxNWI4N2ViYmNlXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_FMjpg_UX314_.jpg,Pierre Morel,Luc Besson|Robert Mark Kamen,Liam Neeson|Maggie Grace|Famke Janssen
74089,Peter Pan,"In this magical tale about the boy who refuses to grow up, Peter Pan and his mischievous fairy sidekick Tinkerbell visit the nursery of Wendy, Michael, and John Darling.","1960","1h 40m",https://m.media-amazon.com/images/M/MV5BMTIxMTc3MzQyNl5BMl5BanBnXkFtZTYwOTM4NDU5._V1_FMjpg_UX259_.jpg,Vincent J. Donehue,Jerome Robbins|J.M. Barrie,Mary Martin|Cyril Ritchard|Lynn Fontanne
135216,Au temps de la guerre des étoiles,"Chewbacca and Han Solo try to get to the Wookiee homeworld of Kashyyyk to celebrate Life Day, but are impeded by an Imperial blockade. Chewie's family passes the time with various forms of entertainment.",TV-PG,"1h 37m",https://m.media-amazon.com/images/M/MV5BYTgxODczNmUtZWRiYi00ODRmLTlhMTMtMTg5Y2FjOWM2NDdmL2ltYWdlXkEyXkFqcGdeQXVyMDg0NTQ5OA@@._V1_FMjpg_UY720_.jpg,Steve Binder|David Acomba,Rod Warren|Bruce Vilanch|Pat Proft,Mickey Morton|Patty Maloney|Paul Gale
7587,Le Samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Tous publics,"1h 45m",https://m.media-amazon.com/images/M/MV5BYjhhZDBiY2QtMzExMy00ZTc1LWIwZjctOTFiOGQ0MzNjZjBjXkEyXkFqcGdeQXVyNzYxODE3NTQ@._V1_FMjpg_UX588_.jpg,Jean-Pierre Melville,Jean-Pierre Melville|Joan McLeod|Georges Pellegrin,Alain Delon|François Périer|Nathalie Delon
7048,Rien à perdre,"Nick's wife's in bed with his boss. He later gets a gun to his head by a carjacker but steps on the gas pedal. They end up friends after adventures together - holdups, burglary, reckless driving, revenge etc. Twists follow.",Tous publics,"1h 38m",https://m.media-amazon.com/images/M/MV5BOWY5NWM0ZmItYzEzOS00NGZjLWExYmEtMWIxM2I2ZGIzYjBkXkEyXkFqcGdeQXVyMTA0MDM3NDg4._V1_FMjpg_UY720_.jpg,Steve Oedekerk,Steve Oedekerk,Martin Lawrence|Tim Robbins|John C. McGinley
104339,In a World...,An underachieving voice coach finds herself competing in the movie trailer voice-over profession against her arrogant father and his protégé.,R,"1h 33m",https://m.media-amazon.com/images/M/MV5BMTg5MjE4NDIyNl5BMl5BanBnXkFtZTcwNDY0Nzk5OA@@._V1_FMjpg_UX1280_.jpg,Lake Bell,Lake Bell,Lake Bell|Fred Melamed|Michaela Watkins
2827,Intrusion,"After an explosion in space and subsequent two-minute radio-out period, two astronauts return home to their wives. Slightly it's revealed that they're not the same as they were.",Tous publics,"1h 49m",https://m.media-amazon.com/images/M/MV5BODZhODI0M2YtMzM3OC00MDkzLWFiZDAtNTY1OWE2ZDNiYWM2XkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_FMjpg_UX1144_.jpg,Rand Ravich,Rand Ravich,Charlize Theron|Johnny Depp|Joe Morton
3964,Le crapaud et le maître d'école,"An animated adaptation of ""The Wind in the Willows"" followed by an adaptation of ""The Legend of Sleepy Hollow"".",Tous publics,"1h 8m",https://m.media-amazon.com/images/M/MV5BOTg0YWMyOWUtNjFkNi00YmY2LTgyZTUtYTZjZTIzZDdmYTBmXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_FMjpg_UY720_.jpg,James Algar|Clyde Geronimi|Jack Kinney,Washington Irving|Kenneth Grahame|Erdman Penner,Bing Crosby|Basil Rathbone|Eric Blore
139857,Colonia,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from.",Tous publics avec avertissement,"1h 50m",https://m.media-amazon.com/images/M/MV5BMjg5NzE1MmYtYWM1Ny00NjYwLWFmMWItNDc3MTc4ZTEyZjJiXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_FMjpg_UX567_.jpg,Florian Gallenberger,Torsten Wenzel|Florian Gallenberger|Tom Kinninmont,Emma Watson|Daniel Brühl|Michael Nyqvist
764,Heavy,"The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant.",Tous publics,"1h 45m",https://m.media-amazon.com/images/M/MV5BMTY0NzUxMzY2MF5BMl5BanBnXkFtZTcwMTU2MjkwNA@@._V1_FMjpg_UX1280_.jpg,James Mangold,James Mangold,Pruitt Taylor Vince|Liv Tyler|Shelley Winters
71970,La princesse et le pirate,A cowardly actor and a runaway princess are voyaging on a ship that is captured by a notorious pirate who recently buried his treasure on a secretly mapped island.,Tous publics,"1h 34m",https://m.media-amazon.com/images/M/MV5BZDg4YTA1MWYtMjI3ZC00MDEzLTg5ZTUtYTk3NDA3MWFkOGVmXkEyXkFqcGdeQXVyMTQ2NzYyOA@@._V1_FMjpg_UX1280_.jpg,David Butler|Sidney Lanfield,Don Hartman|Melville Shavelson|Everett Freeman,Bob Hope|Virginia Mayo|Walter Brennan
7255,Rendez-vous avec une star,"A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend.",Tous publics,"1h 36m",https://m.media-amazon.com/images/M/MV5BMTM0ODcyNjA4NF5BMl5BanBnXkFtZTcwMjM3NjQyMQ@@._V1_FMjpg_UX552_.jpg,Robert Luketic,Victor Levin,Kate Bosworth|Josh Duhamel|Topher Grace
158830,Le BGG : Le Bon Gros Géant,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Tous publics,"1h 57m",https://m.media-amazon.com/images/M/MV5BMmU5ZGJkODgtMzhiNy00YjQxLTk3M2UtZjRjZjU4ZWYzMjM4XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,Steven Spielberg,Melissa Mathison|Roald Dahl,Mark Rylance|Ruby Barnhill|Penelope Wilton
69805,Les aventures de Flynn Carson - Le secret de la coupe maudite,"Losing his girlfriend because he was at an auction getting the magical Philosopher's Stone, Flynn Carsen is ordered to take a vacation. In New Orleans he finds himself busy protecting the Judas Chalice and saving the world from vampires.",TV-PG,"1h 30m",https://m.media-amazon.com/images/M/MV5BNjNmMGJkN2YtMDAxMC00ODYwLWIyZDktNDE1NjY1NGVjYWFkXkEyXkFqcGdeQXVyNTc0NjY1ODk@._V1_FMjpg_UX704_.jpg,Jonathan Frakes,Marco Schnabel|David N. Titcher,Noah Wyle|Bruce Davison|Stana Katic
6005,Blue Collar Comedy Tour: The Movie,The comedic stylings of four sort-of famous funnymen are brought to the big screen courtesy of this 2002 documentary.,PG-13,"1h 45m",https://m.media-amazon.com/images/M/MV5BMzc1MjQxODQ5NV5BMl5BanBnXkFtZTYwMDYyMTY2._V1_FMjpg_UX450_.jpg,C.B. Harding,Bill Engvall|Jeff Foxworthy|Larry the Cable Guy,Jeff Foxworthy|Bill Engvall|Ron White
128366,Patton Oswalt: Tragedy Plus Comedy Equals Time,"Recorded in Spreckels Theater in San Diego, California, comedian Patton Oswalt returns for his 5th feature-length stand-up comedy special.",TV-MA,"59m",https://m.media-amazon.com/images/M/MV5BMTQ3MTQxOTYzM15BMl5BanBnXkFtZTgwNDMxNDk1MTE@._V1_FMjpg_UX343_.jpg,Bobcat Goldthwait,Patton Oswalt,Patton Oswalt
2917,La fièvre au corps,"During an extreme heatwave, a beautiful Florida woman and a seedy lawyer engage in an affair while plotting the murder of her rich husband.",Tous publics,"1h 53m",https://m.media-amazon.com/images/M/MV5BNWQ4OTM1ODYtYzllOS00YzcyLWE4YmEtZWQ1MWM5Y2JjYThjXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_FMjpg_UY720_.jpg,Lawrence Kasdan,Lawrence Kasdan,William Hurt|Kathleen Turner|Richard Crenna
7362,Taking Lives : Destins violés,An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,"12","1h 43m",https://m.media-amazon.com/images/M/MV5BNmViOGFjNTAtNDRjNy00ODkxLTkzZWEtNTgxOTY4MjNiYjA0XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX600_.jpg,D.J. Caruso,Michael Pye|Jon Bokenkamp,Angelina Jolie|Ethan Hawke|Kiefer Sutherland
141799,Cooties,"A mysterious virus hits an isolated elementary school, transforming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives.",R,"1h 28m",https://m.media-amazon.com/images/M/MV5BMTA4MTM5NzExMjBeQTJeQWpwZ15BbWU4MDYyNTk1OTUx._V1_FMjpg_UY720_.jpg,Jonathan Milott|Cary Murnion,Leigh Whannell|Ian Brennan|Josh C. Waller,Elijah Wood|Rainn Wilson|Alison Pill
72171,Black Dynamite,"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.",Tous publics,"1h 24m",https://m.media-amazon.com/images/M/MV5BZGMwM2E3ZGMtMTI2MC00MWFkLTg1NzYtNTIzNDU4MzAxNzU2XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_FMjpg_UX960_.jpg,Scott Sanders,Michael Jai White|Byron Minns|Scott Sanders,Michael Jai White|Arsenio Hall|Tommy Davidson
144714,Un homme parfait,"After breaking up with her boyfriend, a professional woman gets involved with a man who seems almost too good to be true.",PG-13,"1h 40m",https://m.media-amazon.com/images/M/MV5BMzZlZTU3NzQtNDJkYy00OTZiLWJiNDMtZTY4ZDAwZjhhZDc3XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_FMjpg_UX300_.jpg,David M. Rosenthal,Alan B. McElroy|Tyger Williams,Sanaa Lathan|Michael Ealy|Morris Chestnut
26394,Le tournant de la vie,"When her daughter joins a ballet company, a former dancer is forced to confront her long-ago decision to give up the stage to have a family.",Tous publics,"1h 59m",https://m.media-amazon.com/images/M/MV5BMDczNmNjMTctY2U3Yy00OTU3LWI1NTQtZTRkYjA2MjA5MGQxXkEyXkFqcGdeQXVyMjQ3NDc5MzY@._V1_FMjpg_UX644_.jpg,Herbert Ross,Arthur Laurents,Anne Bancroft|Shirley MacLaine|Mikhail Baryshnikov
78041,Kiss & Kill,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.",Tous publics,"1h 40m",https://m.media-amazon.com/images/M/MV5BNTg1NTA0ZjItZWQ5NC00YWJhLWJhMTQtZjM4YzgzNWNjODZhXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UY720_.jpg,Robert Luketic,Bob DeRosa|Ted Griffin,Katherine Heigl|Ashton Kutcher|Tom Selleck
98961,Zero Dark Thirty,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",Tous publics,"2h 37m",https://m.media-amazon.com/images/M/MV5BZWZiODU4MTAtOGI2ZC00OGI0LTkwNTEtYWQyMDQ0ZjU2OGIzXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_FMjpg_UX560_.jpg,Kathryn Bigelow,Mark Boal,Jessica Chastain|Joel Edgerton|Chris Pratt
6552,Dirty Pretty Things : Loin de chez eux,"Irregular migrants Okwe and Senay work at a posh London hotel and live in constant fear of deportation. One night Okwe stumbles across evidence of a bizarre murder, setting off a series of events that could lead to disaster or freedom.",Tous publics avec avertissement,"1h 37m",https://m.media-amazon.com/images/M/MV5BZWRhMmYzNjQtMThmYS00ZjE1LTk3YzAtMTc0YjI4ZjRjNjIyXkEyXkFqcGdeQXVyNjkwOTQ4MDE@._V1_FMjpg_UX1000_.jpg,Stephen Frears,Steven Knight,Chiwetel Ejiofor|Audrey Tautou|Sophie Okonedo
3987,Un amour infini,A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.,Tous publics,"1h 46m",https://m.media-amazon.com/images/M/MV5BMmEwMzNjNWMtZTE2Mi00N2ZlLTlkMDYtZjM3MzZmODFlNTRmXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_FMjpg_UX1280_.jpg,Don Roos,Don Roos,Ben Affleck|Gwyneth Paltrow|Natasha Henstridge
26236,Le soleil blanc du désert,"At the end of the Russian Civil War, Red Army soldier Fyodor Sukhov is ordered to guard the harem of a Caspian Sea guerrilla leader.",Not Rated,"1h 24m",https://m.media-amazon.com/images/M/MV5BMDIxNTBkN2MtZmY3MS00MjhjLWE3MDEtYWU4NTcyMjlmNjRkXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_FMjpg_UX680_.jpg,Vladimir Motyl,Valentin Ezhov|Rustam Ibragimbekov|Mark Zakharov,Anatoliy Kuznetsov|Pavel Luspekayev|Spartak Mishulin
96975,LOL USA,"As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her.",Tous publics,"1h 37m",https://m.media-amazon.com/images/M/MV5BMTYzMjIxOTIyM15BMl5BanBnXkFtZTcwMDQ1MDM2Nw@@._V1_FMjpg_UX1280_.jpg,Lisa Azuelos,Lisa Azuelos|Kamir Aïnouz|Nans Delgado,Miley Cyrus|Douglas Booth|Ashley Greene
1895,Big Party,"A complete graduating class, consisting of beautiful girls, geeks and promising footballers, assemble at a rich classmate's residence for a party. Interesting developments follow at the get-together.",Tous publics,"1h 40m",https://m.media-amazon.com/images/M/MV5BYzI5MmU3NGItZGRmMi00YmExLTgzNjQtNTYzMDYxOTI4YWMxXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg,Harry Elfont|Deborah Kaplan,Deborah Kaplan|Harry Elfont,Jennifer Love Hewitt|Ethan Embry|Charlie Korsmo
159510,La mort a souri à l'assassin,"Greta, a mysterious woman with amnesia, is taken in by the wealthy Mr. and Mrs. von Ravensbruck. The three soon enter into a love triangle that turns deadly, as Greta's gruesome past is slowly revealed.",Not Rated,"1h 28m",https://m.media-amazon.com/images/M/MV5BNmUzNmU0YTMtZjc0Ni00MmY1LWFmMzQtZjgxOTM1ZDBkOThjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1142_.jpg,Joe D'Amato,Claudio Bernabei|Joe D'Amato|Romano Scandariato,Ewa Aulin|Klaus Kinski|Giacomo Rossi Stuart
76054,Océans,"An ecological drama/documentary, filmed throughout the globe. Part thriller, part meditation on the vanishing wonders of the sub-aquatic world.",Tous publics,"1h 44m",https://m.media-amazon.com/images/M/MV5BMWIxMGNmZWEtZWY0NC00MGRiLWI5NDYtMTkxNThiZTA5MWNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UY720_.jpg,Jacques Perrin|Jacques Cluzaud,Christophe Cheysson|Jacques Cluzaud|Laurent Debas,Pierce Brosnan|Pedro Armendáriz Jr.|Jacques Perrin
42761,Casper et Wendy,"Casper, a ghost, teams up with Wendy, a witch, against an evil warlock.",PG,"1h 30m",https://m.media-amazon.com/images/M/MV5BODRjYTkzOTEtYzUzZi00Y2Y5LTgyZmEtNTkzODNiOWE5N2U1L2ltYWdlXkEyXkFqcGdeQXVyNTE4MzAyNDk@._V1_FMjpg_UY720_.jpg,Sean McNamara,Jymn Magon|Rob Kerchner,Cathy Moriarty|Shelley Duvall|Teri Garr
1529,Nowhere,Follows a day in the lives of a group of Los Angeles high school students and the strange lives they lead.,"16","1h 22m",https://m.media-amazon.com/images/M/MV5BNTlhYjcyYzctYzQzOS00YmMzLTk0YWEtNjk3ZjlmODJlNmNlXkEyXkFqcGdeQXVyNjYyMTYxMzk@._V1_FMjpg_UX500_.jpg,Gregg Araki,Gregg Araki,James Duval|Rachel True|Nathan Bexton
4482,Les feux de la nuit,A disillusioned young writer living in New York City turns to drugs and drinking to block out the memories of his dead mother and estranged wife.,"16","1h 47m",https://m.media-amazon.com/images/M/MV5BMTFlNGEyMTktNTk0Yi00MTViLTg0NzctZTA1ZmRhMmEwOGU5XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UY720_.jpg,James Bridges,Jay McInerney,Michael J. Fox|Kiefer Sutherland|Phoebe Cates
36525,Et si c'était vrai...,A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.,Tous publics,"1h 35m",https://m.media-amazon.com/images/M/MV5BZDJmYjdlMWEtOWYwMi00YzBjLWE2YTUtM2Y0NGZhYjE3M2U0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX600_.jpg,Mark Waters,Peter Tolan|Leslie Dixon|Marc Lévy,Reese Witherspoon|Mark Ruffalo|Donal Logue
74580,Kung Fu Nanny,"Former C.I.A. spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau.",Tous publics,"1h 34m",https://m.media-amazon.com/images/M/MV5BMTI5MjEzMjM4N15BMl5BanBnXkFtZTcwODc0ODEwMw@@._V1_FMjpg_UY720_.jpg,Brian Levant,Jonathan Bernstein|James Greer|Gregory Poirier,Jackie Chan|Amber Valletta|Billy Ray Cyrus
114707,Horns,"In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his forehead.","12","2h",https://m.media-amazon.com/images/M/MV5BMTQ2Nzk5NzIxMF5BMl5BanBnXkFtZTgwNTM2NTc5MjE@._V1_FMjpg_UY720_.jpg,Alexandre Aja,Keith Bunin|Joe Hill,Daniel Radcliffe|Juno Temple|Max Minghella
1515,Volcano,A volcano erupts in downtown Los Angeles and a city official and a seismologist try to stop its inevitable flow through the city.,Tous publics,"1h 44m",https://m.media-amazon.com/images/M/MV5BNDViYTc1NTktMWRiMy00MWY4LTg3YjItMDA0Y2U0MjAxYzEzXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX436_.jpg,Mick Jackson,Jerome Armstrong|Billy Ray,Tommy Lee Jones|Anne Heche|Gaby Hoffmann
1301,Planète interdite,"A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.",Tous publics,"1h 38m",https://m.media-amazon.com/images/M/MV5BYjg5ODYxYWItOTRjYi00OGYyLWJkMzktZGZhODkwNWEyY2M0XkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_FMjpg_UX799_.jpg,Fred M. Wilcox,Cyril Hume|Irving Block|Allen Adler,Walter Pidgeon|Anne Francis|Leslie Nielsen
5513,Martin Lawrence Live: Runteldat,"After undergoing a number of personal crises, a stand-up comic returns to the stage for a one-man show featuring stinging social commentary and very personal reflections about his life.",R,"1h 53m",https://m.media-amazon.com/images/M/MV5BZTZmZjQxZDAtOThhNC00OTI1LTgzMDYtNDg3ZWI1NTBjMWJhXkEyXkFqcGdeQXVyMTQ3MjQ1MTg@._V1_FMjpg_UX1280_.jpg,David Raynr,Martin Lawrence,Martin Lawrence|Nancy O'Dell|Paul Keeley
5670,Comedian,"A look at the work of two stand-up comics, Jerry Seinfeld and a lesser-known newcomer, detailing the effort and frustration behind putting together a successful act and career while living a life on the road.",R,"1h 22m",https://m.media-amazon.com/images/M/MV5BMTIwODQwMTQ5NF5BMl5BanBnXkFtZTYwODc1NjY3._V1_FMjpg_UX485_.jpg,Christian Charles,"",Jerry Seinfeld|Chris Rock|Garry Shandling
5883,Le peuple des ténèbres,A psychology student finds all her childhood fears and phobias becoming real after a traumatic event.,"12","1h 29m",https://m.media-amazon.com/images/M/MV5BNGY1YWMxMDQtMzhmYi00NDcwLTkwZjktODFmY2E1NTU3MTNhXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_FMjpg_UX720_.jpg,Robert Harmon,Brendan Hood,Laura Regan|Marc Blucas|Ethan Embry
4809,Le mystère Silkwood,"A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant.",R,"2h 11m",https://m.media-amazon.com/images/M/MV5BZDAyM2JlNWItODg4ZS00Njk4LWIyMDItOGZkNDliOGQ3YWUzXkEyXkFqcGdeQXVyMzQ4ODczODQ@._V1_FMjpg_UX444_.jpg,Mike Nichols,Nora Ephron|Alice Arlen,Meryl Streep|Kurt Russell|Cher
128902,The Forgotten Space,"Details the catastrophic effects globalization has wrought on the ship, truck and train industries. We visit displaced farmers and villagers in Holland and Belgium, underpaid truck drivers in Los Angeles, seafarers aboard mega-ships shuttling between Asia and Europe, and factory ...",Not Rated,"1h 52m",https://m.media-amazon.com/images/M/MV5BMjA0MTIzNjk0OF5BMl5BanBnXkFtZTgwMDM1ODc0NjE@._V1_FMjpg_UY720_.jpg,Noël Burch|Allan Sekula,"",""
69606,Hanté par ses ex,"While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends.",Tous publics,"1h 55m",https://m.media-amazon.com/images/M/MV5BNjc0ZTYxZmItOTQ4Yy00ZjMwLWExOTEtMzhkOWFhODgwODM4XkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_FMjpg_UX800_.jpg,Mark Waters,Jon Lucas|Scott Moore,Matthew McConaughey|Jennifer Garner|Emma Stone
182749,Judd Apatow: The Return,"Judd Apatow returns to stand-up comedy after 25 years, riffing on living with three women, amusing moments from his career and much more.",TV-14,"1h 9m",https://m.media-amazon.com/images/M/MV5BMTY2NTAyNTYyOV5BMl5BanBnXkFtZTgwNDU2NTI0NDM@._V1_FMjpg_UX1024_.jpg,Marcus Raboy,Judd Apatow,Judd Apatow
2304,Love Is the Devil,"Biography of British painter Francis Bacon focuses on his relationship with his lover, George Dyer, a former small time crook.","12","1h 27m",https://m.media-amazon.com/images/M/MV5BZDJlMzAwNzgtMWM1ZC00MWZkLWI5NjgtYTQxMTZmMzc2ODZmXkEyXkFqcGdeQXVyNDU5MzA2NzI@._V1_FMjpg_UX600_.jpg,John Maybury,John Maybury,Derek Jacobi|Daniel Craig|Tilda Swinton
80094,Le dernier exorcisme,A troubled evangelical minister agrees to let his last exorcism be filmed by a documentary crew.,"16","1h 27m",https://m.media-amazon.com/images/M/MV5BYmI4NTQ4ODctNzEyMS00OWRlLTg3NmUtNjk3NWRmMWNmNGFiXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX420_.jpg,Daniel Stamm,Huck Botko|Andrew Gurland,Patrick Fabian|Ashley Bell|Iris Bahr
115151,Plastic,"Sam and Fordy run a credit card fraud scheme, but when they steal from the wrong man, they find themselves threatened by a sadistic gangster. They need to raise £2m and pull off a daring diamond heist to clear their debt.",R,"1h 42m",https://m.media-amazon.com/images/M/MV5BZTk5NjA3N2EtNmM4YS00ZWRlLTkyMWQtOGNkZTFlMzdmOWVmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_FMjpg_UY720_.jpg,Julian Gilbey,Chris Howard|Sacha Bennett|Julian Gilbey,Ed Speleers|Will Poulter|Alfie Allen
62250,Gomorra,"Scampia Vele is the Corbusian architecture which has become a stronghold for Mafia of Naples, Italy.",Tous publics,"2h 17m",https://m.media-amazon.com/images/M/MV5BMTM2NDgzMDY4MF5BMl5BanBnXkFtZTcwMzUwMzg5MQ@@._V1_FMjpg_UX570_.jpg,Matteo Garrone,Roberto Saviano|Maurizio Braucci|Ugo Chiti,Gianfelice Imparato|Salvatore Abbruzzese|Toni Servillo
32862,Il y a un homme dans le lit de maman,"Two widowed people fall in love and marry, unprepared for the hostile reactions of their children.",Tous publics,"1h 35m",https://m.media-amazon.com/images/M/MV5BMWFjODgxY2QtMjc3OS00NDJmLTkyNWEtNTVlNTkzYzNhYzE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_FMjpg_UX500_.jpg,Howard Morris,Gwen Bagni|Paul Dubov|Harvey Bullock,Doris Day|Brian Keith|Pat Carroll
74647,Maman mode d'emploi,"In Manhattan, a mother of two preparing for her daughter's sixth birthday party has no idea of the challenges she's about to face in order to pull off the event.",PG-13,"1h 30m",https://m.media-amazon.com/images/M/MV5BMTI0MDY2ODIwOF5BMl5BanBnXkFtZTcwODI5NjYyMg@@._V1_FMjpg_UX640_.jpg,Katherine Dieckmann,Katherine Dieckmann,Uma Thurman|Anthony Edwards|Minnie Driver
996,Dernier recours,A drifting gunslinger-for-hire finds himself in the middle of an ongoing war between the Irish and Italian mafia in a Prohibition era ghost town.,"12","1h 41m",https://m.media-amazon.com/images/M/MV5BODY3MWM2MTEtZmFiYS00NjAyLTljNjUtNzIzZTVlYmUzZDA2XkEyXkFqcGdeQXVyNjU1MDU2MTY@._V1_FMjpg_UX500_.jpg,Walter Hill,Ryûzô Kikushima|Akira Kurosawa|Walter Hill,Bruce Willis|Bruce Dern|William Sanderson
3985,L'aigle s'est envolé,A German plot to kidnap Sir Winston Churchill unfolds at the height of World War II.,Tous publics,"2h 15m",https://m.media-amazon.com/images/M/MV5BOWQzNzY0MGMtZWY1NC00ZDNkLWEyODAtZmRjNDkwNzgyODY3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX960_.jpg,John Sturges,Tom Mankiewicz|Jack Higgins,Michael Caine|Donald Sutherland|Robert Duvall
26147,Des clowns par milliers,"A middle-aged iconoclast, doggedly avoiding the tedium of employment and conventional life, faces the prospect of losing custody of his young ward.",Tous publics,"1h 58m",https://m.media-amazon.com/images/M/MV5BMTFjMTI1MmQtZjc3MC00NDZjLWE0N2QtOGYwOGYxYzFiNjA2XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_FMjpg_UX1083_.jpg,Fred Coe,Herb Gardner,Jason Robards|Barbara Harris|Martin Balsam
3827,Space Cowboys,"When retired engineer Frank Corvin is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",Tous publics,"2h 10m",https://m.media-amazon.com/images/M/MV5BMTk4NzAwOTkwMF5BMl5BanBnXkFtZTYwMDM3MTM3._V1_FMjpg_UX475_.jpg,Clint Eastwood,Ken Kaufman|Howard Klausner,Clint Eastwood|Tommy Lee Jones|Donald Sutherland
